station_nbr	record_date	mean_daily_flow_cfs	published_status	estimated	revised	download_date
11497550	03-12-2009	215   	Published			02-06-2015 11:44
11497550	03-13-2009	213   	Published			02-06-2015 11:44
11497550	03-14-2009	218   	Published			02-06-2015 11:44
11497550	03-15-2009	232   	Published			02-06-2015 11:44
11497550	03-16-2009	274   	Published			02-06-2015 11:44
11497550	03-17-2009	481   	Published			02-06-2015 11:44
11497550	03-18-2009	520   	Published			02-06-2015 11:44
11497550	03-19-2009	477   	Published			02-06-2015 11:44
11497550	03-20-2009	450   	Published			02-06-2015 11:44
11497550	03-21-2009	447   	Published			02-06-2015 11:44
11497550	03-22-2009	461   	Published			02-06-2015 11:44
11497550	03-23-2009	426   	Published			02-06-2015 11:44
11497550	03-24-2009	375   	Published			02-06-2015 11:44
11497550	03-25-2009	372   	Published			02-06-2015 11:44
11497550	03-26-2009	350   	Published			02-06-2015 11:44
11497550	03-27-2009	331   	Published			02-06-2015 11:44
11497550	03-28-2009	336   	Published			02-06-2015 11:44
11497550	03-29-2009	359   	Published			02-06-2015 11:44
11497550	03-30-2009	345   	Published			02-06-2015 11:44
11497550	03-31-2009	315   	Published			02-06-2015 11:44
11497550	04-01-2009	302   	Published			02-06-2015 11:44
11497550	04-02-2009	295   	Published			02-06-2015 11:44
11497550	04-03-2009	294   	Published			02-06-2015 11:44
11497550	04-04-2009	286   	Published			02-06-2015 11:44
11497550	04-05-2009	271   	Published			02-06-2015 11:44
11497550	04-06-2009	268   	Published			02-06-2015 11:44
11497550	04-07-2009	279   	Published			02-06-2015 11:44
11497550	04-08-2009	327   	Published			02-06-2015 11:44
11497550	04-09-2009	454   	Published			02-06-2015 11:44
11497550	04-10-2009	721   	Published			02-06-2015 11:44
11497550	04-11-2009	653   	Published			02-06-2015 11:44
11497550	04-12-2009	535   	Published			02-06-2015 11:44
11497550	04-13-2009	456   	Published			02-06-2015 11:44
11497550	04-14-2009	434   	Published			02-06-2015 11:44
11497550	04-15-2009	414   	Published			02-06-2015 11:44
11497550	04-16-2009	386   	Published			02-06-2015 11:44
11497550	04-17-2009	367   	Published			02-06-2015 11:44
11497550	04-18-2009	366   	Published			02-06-2015 11:44
11497550	04-19-2009	386   	Published			02-06-2015 11:44
11497550	04-20-2009	419   	Published			02-06-2015 11:44
11497550	04-21-2009	468   	Published			02-06-2015 11:44
11497550	04-22-2009	528   	Published			02-06-2015 11:44
11497550	04-23-2009	596   	Published			02-06-2015 11:44
11497550	04-24-2009	599   	Published			02-06-2015 11:44
11497550	04-25-2009	551   	Published			02-06-2015 11:44
11497550	04-26-2009	521   	Published			02-06-2015 11:44
11497550	04-27-2009	511   	Published			02-06-2015 11:44
11497550	04-28-2009	495   	Published			02-06-2015 11:44
11497550	04-29-2009	473   	Published			02-06-2015 11:44
11497550	04-30-2009	451   	Published			02-06-2015 11:44
11497550	05-01-2009	461   	Published			02-06-2015 11:44
11497550	05-02-2009	532   	Published			02-06-2015 11:44
11497550	05-03-2009	649   	Published			02-06-2015 11:44
11497550	05-04-2009	762   	Published			02-06-2015 11:44
11497550	05-05-2009	827   	Published			02-06-2015 11:44
11497550	05-06-2009	897   	Published			02-06-2015 11:44
11497550	05-07-2009	932   	Published			02-06-2015 11:44
11497550	05-08-2009	952   	Published			02-06-2015 11:44
11497550	05-09-2009	917   	Published			02-06-2015 11:44
11497550	05-10-2009	880   	Published			02-06-2015 11:44
11497550	05-11-2009	846   	Published			02-06-2015 11:44
11497550	05-12-2009	803   	Published			02-06-2015 11:44
11497550	05-13-2009	737   	Published			02-06-2015 11:44
11497550	05-14-2009	690   	Published			02-06-2015 11:44
11497550	05-15-2009	668   	Published			02-06-2015 11:44
11497550	05-16-2009	629   	Published			02-06-2015 11:44
11497550	05-17-2009	603   	Published			02-06-2015 11:44
11497550	05-18-2009	599   	Published			02-06-2015 11:44
11497550	05-19-2009	595   	Published			02-06-2015 11:44
11497550	05-20-2009	583   	Published			02-06-2015 11:44
11497550	05-21-2009	564   	Published			02-06-2015 11:44
11497550	05-22-2009	529   	Published			02-06-2015 11:44
11497550	05-23-2009	502   	Published			02-06-2015 11:44
11497550	05-24-2009	488   	Published			02-06-2015 11:44
11497550	05-25-2009	474   	Published			02-06-2015 11:44
11497550	05-26-2009	462   	Published			02-06-2015 11:44
11497550	05-27-2009	428   	Published			02-06-2015 11:44
11497550	05-28-2009	404   	Published			02-06-2015 11:44
11497550	05-29-2009	372   	Published			02-06-2015 11:44
11497550	05-30-2009	375   	Published			02-06-2015 11:44
11497550	05-31-2009	382   	Published			02-06-2015 11:44
11497550	06-01-2009	387   	Published			02-06-2015 11:44
11497550	06-02-2009	367   	Published			02-06-2015 11:44
11497550	06-03-2009	390   	Published			02-06-2015 11:44
11497550	06-04-2009	439   	Published			02-06-2015 11:44
11497550	06-05-2009	437   	Published			02-06-2015 11:44
11497550	06-06-2009	473   	Published			02-06-2015 11:44
11497550	06-07-2009	440   	Published			02-06-2015 11:44
11497550	06-08-2009	420   	Published			02-06-2015 11:44
11497550	06-09-2009	351   	Published			02-06-2015 11:44
11497550	06-10-2009	321   	Published			02-06-2015 11:44
11497550	06-11-2009	334   	Published			02-06-2015 11:44
11497550	06-12-2009	365   	Published			02-06-2015 11:44
11497550	06-13-2009	373   	Published			02-06-2015 11:44
11497550	06-14-2009	376   	Published			02-06-2015 11:44
11497550	06-15-2009	350   	Published			02-06-2015 11:44
11497550	06-16-2009	338   	Published			02-06-2015 11:44
11497550	06-17-2009	319   	Published			02-06-2015 11:44
11497550	06-18-2009	292   	Published			02-06-2015 11:44
11497550	06-19-2009	260   	Published			02-06-2015 11:44
11497550	06-20-2009	260   	Published			02-06-2015 11:44
11497550	06-21-2009	266   	Published			02-06-2015 11:44
11497550	06-22-2009	278   	Published			02-06-2015 11:44
11497550	06-23-2009	256   	Published			02-06-2015 11:44
11497550	06-24-2009	244   	Published			02-06-2015 11:44
11497550	06-25-2009	226   	Published			02-06-2015 11:44
11497550	06-26-2009	212   	Published			02-06-2015 11:44
11497550	06-27-2009	202   	Published			02-06-2015 11:44
11497550	06-28-2009	198   	Published			02-06-2015 11:44
11497550	06-29-2009	204   	Published			02-06-2015 11:44
11497550	06-30-2009	194   	Published			02-06-2015 11:44
