"DATASET","VAR","SITE_NAME","AREA_KM2","TERM","VALUE"
"POR","PP","Sycan",1440.5751,"L",42037.312368272
"POR","PP","SF",279.5418,"L",14322.2971660808
"POR","PP","NF",186.8526,"L",15412.8092935963
"POR","PP","Power-Lone_Pine",429.7617,"L",-20146.1644137349
"POR","PP","Lone_Pine-Godowa-Sycan",782.0874,"L",36930.5176577768
"POR","PP","Godowa-SF-NF",1003.7322,"L",82249.1615058458
"RECENT","NH4","Power",4122.55080000001,"L",28675.8929575817
"RECENT","NH4","Lone_Pine",3692.78910000001,"L",26780.4187481557
"RECENT","NH4","Godowa",1470.1266,"L",18882.4626413092
"RECENT","NH4","Sycan",1440.5751,"L",6104.76153396891
"RECENT","NH4","SF_Ivory",753.1524,"L",5598.87792356862
"RECENT","NH4","SF",279.5418,"L",2737.39175512714
"RECENT","NH4","NF_Ivory",535.3254,"L",6480.60670788245
"RECENT","NH4","NF",186.8526,"L",4685.19034210008
"RECENT","NH4","Power-Lone_Pine",429.7617,"L",1895.47420942601
"RECENT","NH4","Lone_Pine-Godowa-Sycan",782.0874,"L",1793.1945728776
"RECENT","NH4","Godowa-SF-NF",1003.7322,"L",11459.880544082
"RECENT","NH4","Godowa-SF_Ivory-NF_Ivory",181.6488,"L",6802.97800985814
"RECENT","NH4","SF_Ivory-SF",473.6106,"L",2861.48616844148
"RECENT","NH4","NF_Ivory-NF",348.4728,"L",1795.41636578237
"RECENT","NO23","Power",4122.55080000001,"L",31647.0828520195
"RECENT","NO23","Lone_Pine",3692.78910000001,"L",33951.1358845862
"RECENT","NO23","Godowa",1470.1266,"L",36459.3977306475
"RECENT","NO23","Sycan",1440.5751,"L",8348.74261877192
"RECENT","NO23","SF_Ivory",753.1524,"L",5324.26007651706
"RECENT","NO23","SF",279.5418,"L",2899.58323917009
"RECENT","NO23","NF_Ivory",535.3254,"L",7850.4589717563
"RECENT","NO23","NF",186.8526,"L",7109.67714087844
"RECENT","NO23","Power-Lone_Pine",429.7617,"L",-2304.05303256673
"RECENT","NO23","Lone_Pine-Godowa-Sycan",782.0874,"L",-10857.0044648332
"RECENT","NO23","Godowa-SF-NF",1003.7322,"L",26450.137350599
"RECENT","NO23","Godowa-SF_Ivory-NF_Ivory",181.6488,"L",23284.6786823742
"RECENT","NO23","SF_Ivory-SF",473.6106,"L",2424.67683734698
"RECENT","NO23","NF_Ivory-NF",348.4728,"L",740.781830877862
"RECENT","PO4","Power",4122.55080000001,"L",84550.9169211447
"RECENT","PO4","Lone_Pine",3692.78910000001,"L",75323.8231235546
"RECENT","PO4","Godowa",1470.1266,"L",57395.6130062566
"RECENT","PO4","Sycan",1440.5751,"L",7723.52084538488
"RECENT","PO4","SF_Ivory",753.1524,"L",10635.5673276356
"RECENT","PO4","SF",279.5418,"L",5448.36819874391
"RECENT","PO4","NF_Ivory",535.3254,"L",18909.4375314456
"RECENT","PO4","NF",186.8526,"L",14889.4534296903
"RECENT","PO4","Power-Lone_Pine",429.7617,"L",9227.09379759016
"RECENT","PO4","Lone_Pine-Godowa-Sycan",782.0874,"L",10204.6892719131
"RECENT","PO4","Godowa-SF-NF",1003.7322,"L",37057.7913778223
"RECENT","PO4","Godowa-SF_Ivory-NF_Ivory",181.6488,"L",27850.6081471754
"RECENT","PO4","SF_Ivory-SF",473.6106,"L",5187.1991288917
"RECENT","PO4","NF_Ivory-NF",348.4728,"L",4019.9841017552
"RECENT","TN","Power",4122.55080000001,"L",742417.465033303
"RECENT","TN","Lone_Pine",3692.78910000001,"L",778476.915430652
"RECENT","TN","Godowa",1470.1266,"L",354521.044870413
"RECENT","TN","Sycan",1440.5751,"L",232764.091691015
"RECENT","TN","SF_Ivory",753.1524,"L",153176.072553269
"RECENT","TN","SF",279.5418,"L",48463.2389662658
"RECENT","TN","NF_Ivory",535.3254,"L",113954.83982126
"RECENT","TN","NF",186.8526,"L",62797.0053846981
"RECENT","TN","Power-Lone_Pine",429.7617,"L",-36059.4503973485
"RECENT","TN","Lone_Pine-Godowa-Sycan",782.0874,"L",191191.778869223
"RECENT","TN","Godowa-SF-NF",1003.7322,"L",243260.800519449
"RECENT","TN","Godowa-SF_Ivory-NF_Ivory",181.6488,"L",87390.1324958836
"RECENT","TN","SF_Ivory-SF",473.6106,"L",104712.833587003
"RECENT","TN","NF_Ivory-NF",348.4728,"L",51157.834436562
"RECENT","TP","Power",4122.55080000001,"L",154153.425561997
"RECENT","TP","Lone_Pine",3692.78910000001,"L",148229.891902088
"RECENT","TP","Godowa",1470.1266,"L",95627.6716641704
"RECENT","TP","Sycan",1440.5751,"L",23814.366526083
"RECENT","TP","SF_Ivory",753.1524,"L",26480.1622040728
"RECENT","TP","SF",279.5418,"L",11853.6073775389
"RECENT","TP","NF_Ivory",535.3254,"L",37546.0744780448
"RECENT","TP","NF",186.8526,"L",23788.0005262066
"RECENT","TP","Power-Lone_Pine",429.7617,"L",5923.53365990991
"RECENT","TP","Lone_Pine-Godowa-Sycan",782.0874,"L",28787.8537118341
"RECENT","TP","Godowa-SF-NF",1003.7322,"L",59986.0637604249
"RECENT","TP","Godowa-SF_Ivory-NF_Ivory",181.6488,"L",31601.4349820529
"RECENT","TP","SF_Ivory-SF",473.6106,"L",14626.5548265338
"RECENT","TP","NF_Ivory-NF",348.4728,"L",13758.0739518382
"RECENT","TSS","Power",4122.55080000001,"L",22967677.18444
"RECENT","TSS","Lone_Pine",3692.78910000001,"L",23360752.5024827
"RECENT","TSS","Godowa",1470.1266,"L",14065793.162107
