STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MXPN,MNPN,EVAP,MDEV,DAEV,MDPR,MDSF,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040612,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,189,6,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040613,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,189,17,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040614,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,211,39,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040615,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,239,39,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040616,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,250,72,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040617,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,250,83,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040618,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,267,83,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040619,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,272,78,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040620,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,256,78,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040621,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,256,67,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040622,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,278,67,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040623,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,311,78,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040624,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,300,72,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,278,67,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040626,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,272,78,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040627,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,256,78,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040628,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,289,89,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040629,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23,-9999,-9999,289,100,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040630,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,-9999,-9999,267,72,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040701,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,272,72,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040702,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,261,78,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040703,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,278,94,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040704,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,272,83,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040705,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,289,83,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040706,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,300,106,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040707,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,311,100,-9999
GHCND:USC00353232,GERBER DAM OR US,1478.3,42.205,-121.13139,20040708,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,272,78,-9999
