INDEX,DATE,GPS_N,GPS_W,Site ID,SITE,JD,CJD,MO,DAY,YR,TIME,Q_CFS,STAFF_GAGE_FT,TEMP_C,TEMP_CALC,TEMP_ACT,TEMP_DIFF,COND_MS_CM,COND_US_CM,COND_CALC,COND_ACT,COND_DIFF,DO_mgl,DO_CALC,DO_ACT,DO_DIFF,PH,PH_CALC,PH_ACT,PH_DIFF,PSAT_perc,PSAT_CALC,PSAT_ACT,PSAT_DIFF,TP_MGL,TP_DUP,TP_SPIKE,TP_DIFF,TP_RPD,TP_PASS_FAIL,PO4_MGL,PO4_DUP,PO4_SPIKE,PO4_DIFF,PO4_RPD,PO4_PASS_FAIL,NH4_MGL,NH4_DUP,NH4_SPIKE,NH4_DIFF,NH4_RPD,NH4_PASS_FAIL,NO3NO2_MGL,NO3NO2_DUP,NO3NO2_SPIKE,NO3NO2_DIFF,NO3NO2_RPD,NO3NO2_PASS_FAIL,NO2_MGL,NO2_DUP,NO2_SPIKE,NO2_DIFF,NO2_RPD,NO2_PASS_FAIL,TN_MGL,TN_DUP,TN_SPIKE,TN_DIFF,TN_RPD,TN_PASS_FAIL,CL_MGL,CL_DUP,CL_SPIKE,CL_DIFF,CL_RPD,CL_PASS_FAIL,SIO2+MGL,SIO2_DUP,SIO2_SPIKE,SIO2_DIFF,SIO2_RPD,SIO2_PASS_FAIL,TSS_MGL,TSS_DUP,TSS_DIFF,TSS_RPD,TSS_PASS_FAIL,TURB_MGL,TURB_DUP,TURB_DIFF,TURB_RPD,TURB_PASS_FAIL,CHLA_UGL,CHLA_DUP,CHLA_DIFF,CHLA_RPD,CHLA_PASS_FAIL,PHAE_UGL,PHAE_DUP,PHAE_DIFF,PHAE_RPD,PHAE_PASS_FAIL,Notes
21,5/16/01,"N42-35'04.7""","W121-50'30.7""",Sprague R @ Power Plant,SR0090,136,136,5,16,2001,930,377,,13.28,,,,0.118,118,147,164,17,7.43,,,,9.02,10.05,10.06,0.01,70.3,,,,0.066,0.067,,0.001,1.503759398,pass,0.062,0.05,,0.012,21.42857143,fail,0.09,0.096,,0.006,6.451612903,pass,0.005,0.005,,0,0,pass,,,,,,,0.333,0.37,,0.037,10.52631579,pass,1.1,0.9,,0.2,20,pass,,,,0,#DIV/0!,pass,,,,,,,,,,,,,,,,,,,,,
22,5/17/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,137,137,5,17,2001,1130,97.4,1.15,8.8,,,,0.047,47,147,151,4,11.2,,,,7.56,9.83,10.07,0.24,109.3,,,,0.042,0.043,,0.001,2.352941176,pass,0.038,0.006,,0.032,145.4545455,fail,0.024,0.019,,0.005,23.25581395,pass,0.005,0.005,,0,0,pass,,,,,,,0.149,0.202,,0.053,30.1994302,pass,0.25,0.25,,0,0,pass,,,,0,#DIV/0!,pass,,,,,,,,,,,,,,,,,,,,,
23,5/17/01,"N42-22'33.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,137,137,5,17,2001,1023,68.8,,8.2,,,,0.062,62,147,151,4,11.1,,,,7.37,9.83,10.07,0.24,107.7,,,,0.043,,,,,,0.034,,,,,,0.031,,,,,,0.005,,,,,,,,,,,,0.2,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5/17/01,"N42-27'37.4""","W121-16'11.5""",Sprague R @ Godowa Rd,SR0060,137,137,5,17,2001,1430,326,,17.43,,,,0.098,98,147,151,4,10.84,,,,8.52,9.83,10.07,0.24,132.3,,,,0.071,,,,,,0.048,,,,,,0.075,,,,,,0.005,,,,,,,,,,,,0.417,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5/17/01,"N42-29'08.5""","W121-20'55.4""",Sycan R @ Drews Rd,SR0070,137,137,5,17,2001,1340,55,,16.85,,,,0.101,101,147,151,4,11.51,,,,8.48,9.83,10.07,0.24,131.5,,,,0.044,,,,,,0.033,,,,,,0.041,,,,,,0.036,,,,,,,,,,,,0.34,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5/30/01,"N42-33'01.8""","W121-37'03.4""",Sprague R @ Lone Pine,SR0080,150,150,5,30,2001,1330,167,1.06,18.92,,,,0.121,121,147,156,9,9.11,,,,8.55,10.09,10.06,0.03,111.4,,,,0.064,0.064,,0,0,pass,0.046,0.049,,0.003,6.315789474,pass,0.013,0.016,,0.003,20.68965517,pass,0.005,0.005,,0,0,pass,,,,,,,0.277,0.277,,0,0,pass,0.8,0.8,,0,0,pass,,,,0,#DIV/0!,pass,,,,,,,,,,,,,,,,,,,,,
27,5/30/01,"N42-35'04.7""","W121-50'30.7""",Sprague R @ Power Plant,SR0090,150,150,5,30,2001,933,225,,16.94,,,,0.111,111,147,156,9,8.85,,,,8.49,10.09,10.06,0.03,104.5,,,,0.072,,,,,,0.054,,,,,,0.018,,,,,,0.005,,,,,,,,,,,,0.3,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5/31/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,151,151,5,31,2001,,58.8,0.84,10.84,,,,0.049,49,147,151,4,10.06,,,,7.6,10.08,10.04,0.04,102.9,,,,0.048,0.046,,0.002,4.255319149,pass,0.044,0.044,,0,0,pass,0.005,0.005,,0,0,pass,0.012,0.012,,0,0,pass,,,,,,,0.1,0.253,,0.153,86.68555241,fail,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,5/31/01,"N42-22'33.8""","W120-58'10.0""",SF Sprague @ Picnic Area,SR0050,151,151,5,31,2001,952,24.4,,13.28,,,,0.078,78,147,151,4,9.34,,,,7.89,10.08,10.04,0.04,100.9,,,,0.04,,,,,,0.034,,,,,,0.005,,,,,,0.005,,,,,,,,,,,,0.2,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,5/31/01,"N42-27'37.4""","W121-16'11.5""",Sprague R @ Godowa Rd,SR0060,151,151,5,31,2001,1340,177,,20.82,,,,0.102,102,147,151,4,10.94,,,,8.79,10.08,10.04,0.04,139.1,,,,0.058,,,,,,0.046,,,,,,0.005,,,,,,0.005,,,,,,,,,,,,0.242,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
