INDEX,DATE,GPS,GPS,Site ID,SITE,JD,CJD,MO,DAY,YR,TIME,Q_CFS,STAFF_GAGE_FT,TEMP_C,TEMP_CALC,TEMP_ACT,TEMP_DIFF,COND_MS_CM,COND_US_CM,COND_CALC,COND_ACT,COND_DIFF,DO_MGL,DO_CALC,DO_ACT,DO_DIFF,PH,PH_CALC,PH_ACT,PH_DIFF,PSAT_PERC,PSAT_CALC,PSAT_ACT,PSAT_DIFF,TP_MGL,TP_DUP,TP_DIFF,TP_RPD,TP_PASS_FAIL,PO4_MGL,PO4_DUP,PO4_DIFF,PO4_RPD,PO4_PASS_FAIL,NH4_MGL,NH4_DUP,NH4_DIFF,NH4_RPD,NH4_PASS_FAIL,NO3NO2_MGL,NO3NO2_DUP,NO3NO2_DIFF,NO3NO2_RPD,NO3NO2_PASS_FAIL,TN_MGL,TN_DUP,TN_DIFF,TN_RPD,TN_PASS_FAIL,CL_MGL,CL_DUP,CL_DIFF,CL_RPD,CL_PASS_FAIL,TSS_MGL,TSS_DUP,TSS_DIFF,TSS_RPD,TSS_PASS_FAIL,CHLA_UGL,CHLA_DUP,CHLA_DIFF,CHLA_RPD,CHLA_PASS_FAIL,PHAE_UGL,PHAE_DUP,PHAE_DIFF,PHAE_RPD,PHAE_PASS_FAIL,BOD5_MGL,BOD5_DUP,BOD5_DIFF,BOD5_QAQC,BOD5_PASS_FAIL,NOTES
35,8/8/01,"N42-35'04.7""","W121-50'30.7""",Sprague R @ Power Plant,SR0090,220,220,8,8,2001,2000,,,25.01,,,,0.1190,119.0,147.0,147.0,0.0,7.42,7.57,7.42,0.15,9.61,10.02,10.07,0.05,103.8,100.0,103.6,3.6,0.069,,,,,0.046,,,,,0.028,,,,,0.005,,,,,0.260,,,,,1.40,,,,,,,,,,,,,,,,,,,,,,,,,
36,8/8/01,"N42-29'14.2""","W121-37'18.5""",Trout Creek,SR0100,220,220,8,8,2001,1440,,,22.97,,,,0.1200,120.0,147.0,147.0,0.0,7.24,7.57,7.42,0.15,8.27,10.02,10.07,0.05,97.8,100.0,103.6,3.6,0.051,,,,,0.046,,,,,0.005,,,,,0.005,,,,,0.050,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,
37,8/8/01,"N42-29'14.2""","W121-37'18.5""",Trout Creek,SR0100,220,220,8,8,2001,1536,,,20.81,,,,0.1200,120.0,147.0,147.0,0.0,7.63,7.57,7.42,0.15,7.86,10.02,10.07,0.05,93.8,100.0,103.6,3.6,0.054,,,,,0.046,,,,,0.005,,,,,0.010,,,,,0.050,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,,
38,8/8/01,"N42-32'35.0""","W121-07'13.2""",Five Mile Creek,SR0120,220,220,8,8,2001,1513,,,21.70,,,,0.0870,87.0,147.0,155.0,8.0,7.67,,,,8.64,10.02,10.12,0.10,87.0,,,0.0,0.058,,,,,0.053,,,,,0.005,,,,,0.005,,,,,0.050,,,,,0.80,,,,,,,,,,,,,,,,,,,,,,,,,
39,8/8/01,"N42-26'52.1""","W121-14'11.7""",Usgs Gage,SR0130,220,220,8,8,2001,1230,,,19.89,,,,0.1320,132.0,147.0,143.0,4.0,8.01,7.03,7.53,0.50,8.30,10.00,10.10,0.10,102.6,100.0,106.1,6.1,0.062,0.062,0.000,0.000,pass,0.051,0.051,0.000,0.000,pass,0.015,0.012,0.003,22.222,pass,0.014,0.013,0.001,7.41,pass,0.153,0.144,0.009,6.061,pass,1.50,1.40,0.10,6.90,pass,2.50,,,,,0.80,,,,,1.10,,,,,1.78,,,,,
40,8/8/01,"N42-26'52.1""","W121-14'11.7""",Usgs Gage,SR0130,220,220,8,8,2001,1645,,,22.67,,,,0.1324,132.4,147.0,143.0,4.0,10.10,7.03,7.53,0.50,8.62,10.00,10.10,0.10,135.8,100.0,106.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,8/8/01,"N42-26'52.1""","W121-14'11.7""",Usgs Gage,SR0130,220,220,8,8,2001,1815,,,22.73,,,,0.1326,132.6,147.0,143.0,4.0,9.54,7.03,7.53,0.50,8.65,10.00,10.10,0.10,128.4,100.0,106.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,8/8/01,"N42-26'22.5""","W121-05'40.0""",S.F.Sprague @ Ivory pine rd.,SR0140,220,220,8,8,2001,1445,,,26.97,,,,0.2421,242.1,147.0,143.0,4.0,11.20,7.03,7.53,0.50,8.47,10.00,10.10,0.10,163.7,100.0,106.1,6.1,0.078,,,,,0.049,,,,,0.019,,,,,0.010,,,,,0.777,,,,,3.30,,,,,3.00,,,,,2.90,,,,,3.00,,,,,2.62,,,,,
43,8/8/01,"N42-29'07.2""","W121-05'40.7""",N.F.Sprague @Ivory pine rd.,SR0150,220,220,8,8,2001,1510,,,25.98,,,,0.0962,96.2,147.0,143.0,4.0,11.25,7.03,7.53,0.50,8.73,10.00,10.10,0.10,161.7,100.0,106.1,6.1,0.100,,,,,0.059,,,,,0.102,,,,,0.005,,,,,0.358,,,,,0.80,,,,,4.25,,,,,28.00,,,,,5.20,,,,,3.04,,,,,
44,8/28/01,"N42-29'49.1""","W121-00'20.0""",NF Sprague @ 3411 Rd,SR0040,240,240,8,28,2001,530,,,,,,,,,73.5,81.0,7.5,,6.96,6.82,0.14,,10.02,10.06,0.04,,100.0,97.7,2.3,0.056,,,,,0.070,,,,,0.011,,,,,0.005,,,,,0.050,,,,,0.25,,,,,1.30,,,,,0.50,,,,,1.70,,,,,0.50,,,,,
