Timing is off.
year,month,site,ppt
1999,12,SR0150,21.8133962546781
1999,12,WR1000,51.9147799939411
2000,1,SR0040,198.096648228564
2000,1,SR0050,128.868948837752
2000,1,SR0060,89.8166369886406
2000,1,SR0070,148.374380073072
2000,1,SR0080,101.229678069673
2000,1,SR0090,118.860210181178
2000,1,SR0140,117.868192715615
2000,1,SR0150,101.070458026342
2000,1,WR1000,125.298218080396
2000,2,SR0040,157.951481863626
2000,2,SR0050,94.3057004215592
2000,2,SR0060,60.9382376217282
2000,2,SR0070,115.134528344846
2000,2,SR0080,76.5152896717989
2000,2,SR0090,92.1714946002898
2000,2,SR0140,86.3181018805769
2000,2,SR0150,69.1205128114506
2000,2,WR1000,97.3818208836004
2000,3,SR0040,114.015603664918
2000,3,SR0050,65.5302568023094
2000,3,SR0060,42.7959561915165
2000,3,SR0070,70.9948814326336
2000,3,SR0080,50.4279235732429
2000,3,SR0090,55.6522795860134
2000,3,SR0140,61.0353369522418
2000,3,SR0150,50.6802834611909
2000,3,WR1000,61.3136153151161
2000,4,SR0040,85.6284090715699
2000,4,SR0050,55.0881976560482
2000,4,SR0060,45.887266839733
2000,4,SR0070,67.8526201860749
2000,4,SR0080,52.2102669065816
2000,4,SR0090,59.4021048962707
2000,4,SR0140,55.5638305892868
2000,4,SR0150,47.7867218390898
2000,4,WR1000,63.5652749603936
2000,5,SR0040,41.3202791769334
2000,5,SR0050,25.5067394767505
2000,5,SR0060,19.8042483639588
2000,5,SR0070,27.8216829185412
2000,5,SR0080,21.6059683067047
2000,5,SR0090,24.8785175472576
2000,5,SR0140,24.4536275329967
2000,5,SR0150,20.7212505510926
2000,5,WR1000,31.0456081568744
2000,6,SR0040,6.86936419942631
2000,6,SR0050,4.49613151529361
2000,6,SR0060,4.21923935691425
2000,6,SR0070,5.86259125448577
2000,6,SR0080,2.9047001482634
2000,6,SR0090,4.3820690962937
2000,6,SR0140,5.37858971338066
2000,6,SR0150,4.93551865708193
2000,6,WR1000,5.98045706977279
2000,7,SR0040,29.5044502362454
2000,7,SR0050,13.3952082224875
2000,7,SR0060,12.9857051322209
2000,7,SR0070,22.1020842430952
2000,7,SR0080,14.4082803142043
2000,7,SR0090,15.331029808305
2000,7,SR0140,19.4555385298209
2000,7,SR0150,13.9124138125711
2000,7,WR1000,14.8847448618283
2000,8,SR0040,0.0808538072983594
2000,8,SR0050,0.100915482679026
2000,8,SR0060,0.423112191003708
2000,8,SR0070,1.39198769230477
2000,8,SR0080,1.34525443947195
2000,8,SR0090,1.9127031063823
2000,8,SR0140,0.514488930164215
2000,8,SR0150,0.317704044477797
2000,8,WR1000,2.63951558381004
2000,9,SR0040,66.2998396116739
2000,9,SR0050,62.9780629975313
2000,9,SR0060,43.4242712399205
2000,9,SR0070,32.0879256895817
2000,9,SR0080,29.689557376357
2000,9,SR0090,16.7603405886688
2000,9,SR0140,44.9628747900511
2000,9,SR0150,57.3725566799021
2000,9,WR1000,14.9150068464035
2000,10,SR0040,74.7743621694898
2000,10,SR0050,52.5139970442732
2000,10,SR0060,46.8222199143708
2000,10,SR0070,59.3380843176307
2000,10,SR0080,45.4456545858789
2000,10,SR0090,47.3838784525206
2000,10,SR0140,54.583325401296
2000,10,SR0150,50.2933117221005
2000,10,WR1000,49.3955926454299
2000,11,SR0040,50.7283902533177
2000,11,SR0050,26.0496085342218
2000,11,SR0060,19.5647425484658
2000,11,SR0070,32.4308588669143
2000,11,SR0080,23.3574137712743
2000,11,SR0090,29.0462783907256
2000,11,SR0140,26.527745269959
2000,11,SR0150,21.1332266763658
2000,11,WR1000,36.2123091189797
2000,12,SR0040,61.632924352802
2000,12,SR0050,29.1923450556438
2000,12,SR0060,19.7607962792759
2000,12,SR0070,44.6880282157442
2000,12,SR0080,26.9477110914298
2000,12,SR0090,42.2167697015448
2000,12,SR0140,31.2796596082265
2000,12,SR0150,22.4452490987103
2000,12,WR1000,49.6045846368377
2001,1,SR0040,52.710198344903
2001,1,SR0050,28.3817920352487
2001,1,SR0060,15.1259792954688
2001,1,SR0070,29.9260528681503
2001,1,SR0080,19.7888260238094
2001,1,SR0090,20.6160865778751
2001,1,SR0140,23.7900060706696
2001,1,SR0150,18.7634917500468
2001,1,WR1000,22.4909222289083
2001,2,SR0040,77.0403130679247
2001,2,SR0050,44.07391539178
2001,2,SR0060,24.6301827629814
2001,2,SR0070,50.7508766769197
2001,2,SR0080,31.582554248078
2001,2,SR0090,34.5565676294316
2001,2,SR0140,37.9496025968229
2001,2,SR0150,29.358421648244
2001,2,WR1000,33.5791286879838
2001,3,SR0040,62.938575110488
2001,3,SR0050,40.5745670477276
2001,3,SR0060,25.8308615285333
2001,3,SR0070,44.6910840310256
2001,3,SR0080,33.2232854098492
2001,3,SR0090,44.0207215086519
2001,3,SR0140,36.3688200290452
2001,3,SR0150,28.9541795999171
2001,3,WR1000,53.3687140294792
2001,4,SR0040,82.8185296704693
2001,4,SR0050,53.9501911343409
2001,4,SR0060,32.017320159845
2001,4,SR0070,52.1445652233452
2001,4,SR0080,32.259475555713
2001,4,SR0090,31.4933516005776
2001,4,SR0140,44.4219013334992
2001,4,SR0150,37.6437474219875
2001,4,WR1000,29.5014247105912
2001,5,SR0040,17.5661777979529
2001,5,SR0050,10.0793140995461
2001,5,SR0060,10.0414562622544
2001,5,SR0070,18.0855431962709
2001,5,SR0080,15.1769589305271
2001,5,SR0090,21.0968217787117
2001,5,SR0140,12.6169821648254
2001,5,SR0150,10.9232980490014
2001,5,WR1000,25.2098235586693
2001,6,SR0040,16.98825163026
2001,6,SR0050,8.74984666219305
2001,6,SR0060,10.4462622575705
2001,6,SR0070,14.4489985033319
2001,6,SR0080,10.7661120059736
2001,6,SR0090,10.9149343110541
2001,6,SR0140,11.87116032782
2001,6,SR0150,10.213455440716
2001,6,WR1000,11.7808989256172
2001,7,SR0040,39.0750774060181
2001,7,SR0050,18.8635849096175
2001,7,SR0060,16.7344528051051
2001,7,SR0070,31.1635941119094
2001,7,SR0080,18.1501588754553
2001,7,SR0090,20.4215459910131
2001,7,SR0140,26.7654381172004
2001,7,SR0150,18.3531967994011
2001,7,WR1000,19.4094897815834
2001,8,SR0040,10.4870591854003
2001,8,SR0050,1.86776909392269
2001,8,SR0060,1.3821504600555
2001,8,SR0070,5.07891081502605
2001,8,SR0080,0.943357148331267
2001,8,SR0090,1.26368664947252
2001,8,SR0140,3.72167009507336
2001,8,SR0150,1.66712170900431
2001,8,WR1000,1.99811449959988
2001,9,SR0040,30.1075707576732
2001,9,SR0050,19.6459388742612
2001,9,SR0060,20.0198723141822
2001,9,SR0070,25.8387922682024
